date,sport,player,team,opponent,home,prop_type,line,player_avg_last5,player_std_last5,minutes_avg_last5,opp_def_rank,opp_pace,rest_days,american_odds,implied_prob,outcome,hit
2025-11-15,NBA,Giannis Antetokounmpo,MIL,ATL,1,points,31.5,31.8,4.3,34.1,20,102.0,2,-120,0.545,35,1
2025-11-12,NBA,Giannis Antetokounmpo,MIL,BOS,0,points,30.5,31.2,4.9,33.5,5,98.5,1,-110,0.524,29,0
2025-11-09,NBA,Giannis Antetokounmpo,MIL,IND,1,points,32.5,32.0,4.1,34.8,23,103.2,2,-115,0.535,34,1
2025-11-06,NBA,Giannis Antetokounmpo,MIL,NYK,0,points,30.0,30.7,3.7,33.9,12,97.9,1,-105,0.512,28,0
2025-11-03,NBA,Giannis Antetokounmpo,MIL,CLE,1,points,31.0,30.9,4.5,34.0,8,98.8,2,-118,0.542,33,1
2025-11-15,NBA,Damian Lillard,MIL,ATL,1,three_pointers_made,3.5,3.9,1.6,36.2,20,102.0,2,+105,0.488,4,1
2025-11-12,NBA,Damian Lillard,MIL,BOS,0,three_pointers_made,3.0,3.7,1.9,35.8,5,98.5,1,-110,0.524,3,1
2025-11-09,NBA,Damian Lillard,MIL,IND,1,three_pointers_made,4.0,4.1,1.7,36.5,23,103.2,2,+100,0.500,3,0
2025-11-06,NBA,Damian Lillard,MIL,NYK,0,three_pointers_made,3.0,3.5,1.5,35.9,12,97.9,1,-105,0.512,2,0
2025-11-03,NBA,Damian Lillard,MIL,CLE,1,three_pointers_made,3.5,3.8,1.8,36.0,8,98.8,2,+110,0.476,5,1
2025-11-14,NBA,DeMar DeRozan,CHI,ORL,1,points,22.5,22.0,4.6,35.2,10,97.5,2,-110,0.524,24,1
2025-11-11,NBA,DeMar DeRozan,CHI,MIA,0,points,23.5,22.4,5.1,34.9,4,97.1,1,-105,0.512,21,0
2025-11-08,NBA,DeMar DeRozan,CHI,DET,1,points,21.5,21.9,4.3,34.7,26,100.5,2,-115,0.535,23,1
2025-11-05,NBA,DeMar DeRozan,CHI,BKN,0,points,22.0,22.2,4.8,35.0,18,100.9,1,+100,0.500,19,0
2025-11-02,NBA,DeMar DeRozan,CHI,CHA,1,points,21.5,21.7,4.0,34.5,27,101.3,2,-112,0.528,25,1
2025-11-14,NBA,Zach LaVine,CHI,ORL,1,points,24.5,24.9,5.3,34.1,10,97.5,2,+100,0.500,27,1
2025-11-11,NBA,Zach LaVine,CHI,MIA,0,points,23.5,24.3,5.9,33.8,4,97.1,1,-105,0.512,21,0
2025-11-08,NBA,Zach LaVine,CHI,DET,1,points,25.5,25.2,4.8,34.4,26,100.5,2,-110,0.524,29,1
2025-11-05,NBA,Zach LaVine,CHI,BKN,0,points,24.0,24.7,6.1,33.9,18,100.9,1,+105,0.488,22,0
2025-11-02,NBA,Zach LaVine,CHI,CHA,1,points,23.5,24.0,5.6,34.0,27,101.3,2,-115,0.535,26,1
2025-11-15,NBA,Jayson Tatum,BOS,PHI,0,points,27.5,28.0,4.0,36.1,7,97.8,2,-115,0.535,29,1
2025-11-12,NBA,Jayson Tatum,BOS,MIA,0,points,28.5,28.3,4.6,35.8,4,97.1,1,-110,0.524,26,0
2025-11-09,NBA,Jayson Tatum,BOS,NYK,1,points,27.0,27.8,3.9,35.7,12,97.9,2,+100,0.500,30,1
2025-11-06,NBA,Jayson Tatum,BOS,ATL,1,points,29.0,28.7,4.4,36.3,20,102.0,1,-118,0.542,31,1
2025-11-03,NBA,Jayson Tatum,BOS,CHI,0,points,27.5,27.9,4.1,35.9,16,100.2,2,-108,0.519,25,0
2025-11-15,NBA,Jaylen Brown,BOS,PHI,0,rebounds,7.5,7.8,2.0,34.2,7,97.8,2,+105,0.488,8,1
2025-11-12,NBA,Jaylen Brown,BOS,MIA,0,rebounds,6.5,7.2,1.9,33.7,4,97.1,1,-110,0.524,6,0
2025-11-09,NBA,Jaylen Brown,BOS,NYK,1,rebounds,7.0,7.4,2.2,34.0,12,97.9,2,+100,0.500,9,1
2025-11-06,NBA,Jaylen Brown,BOS,ATL,1,rebounds,6.5,7.1,2.3,34.5,20,102.0,1,+110,0.476,5,0
2025-11-03,NBA,Jaylen Brown,BOS,CHI,0,rebounds,7.5,7.6,2.1,34.1,16,100.2,2,+120,0.455,10,1
2025-11-14,NBA,Luka Doncic,DAL,PHX,1,points,30.5,30.9,4.5,37.2,19,100.7,2,-125,0.556,34,1
2025-11-11,NBA,Luka Doncic,DAL,SAS,1,points,31.5,31.2,4.8,37.5,28,101.4,1,-120,0.545,29,0
2025-11-08,NBA,Luka Doncic,DAL,LAC,0,points,29.5,30.4,4.2,36.9,6,98.9,2,-115,0.535,32,1
2025-11-05,NBA,Luka Doncic,DAL,HOU,0,points,30.0,30.6,4.0,37.0,14,99.8,1,-118,0.542,27,0
2025-11-02,NBA,Luka Doncic,DAL,MEM,1,points,31.0,31.1,4.7,37.3,21,100.5,2,-110,0.524,33,1
2025-11-14,NBA,Anthony Davis,LAL,GSW,0,blocks,2.5,2.9,0.9,35.0,11,99.7,2,+130,0.435,3,1
2025-11-11,NBA,Anthony Davis,LAL,SAC,0,blocks,2.0,2.7,1.1,34.6,13,100.3,1,+115,0.465,1,0
2025-11-08,NBA,Anthony Davis,LAL,PHX,1,blocks,2.5,2.8,1.0,35.2,19,100.7,2,+125,0.444,4,1
2025-11-05,NBA,Anthony Davis,LAL,DEN,0,blocks,2.5,2.6,1.2,34.8,9,98.4,2,+120,0.455,2,0
2025-11-02,NBA,Anthony Davis,LAL,UTA,1,blocks,2.0,2.5,0.8,35.1,24,101.0,1,+110,0.476,3,1
2025-11-14,NBA,Nikola Vucevic,CHI,ORL,1,rebounds,11.0,11.5,2.8,32.0,10,97.5,2,-105,0.512,12,1
2025-11-11,NBA,Nikola Vucevic,CHI,MIA,0,rebounds,10.5,11.2,3.0,31.7,4,97.1,1,+100,0.500,9,0
2025-11-08,NBA,Nikola Vucevic,CHI,DET,1,rebounds,11.5,11.8,2.6,32.3,26,100.5,2,-110,0.524,13,1
2025-11-05,NBA,Nikola Vucevic,CHI,BKN,0,rebounds,11.0,11.4,2.9,31.9,18,100.9,1,-108,0.519,10,0
2025-11-02,NBA,Nikola Vucevic,CHI,CHA,1,rebounds,10.5,11.0,2.7,32.1,27,101.3,2,+105,0.488,12,1
2025-11-14,NBA,Coby White,CHI,ORL,1,assists,5.5,5.9,1.7,34.4,10,97.5,2,-110,0.524,6,1
2025-11-11,NBA,Coby White,CHI,MIA,0,assists,5.0,5.7,1.6,34.1,4,97.1,1,+100,0.500,4,0
2025-11-08,NBA,Coby White,CHI,DET,1,assists,5.5,5.8,1.4,34.6,26,100.5,2,-105,0.512,7,1
2025-11-05,NBA,Coby White,CHI,BKN,0,assists,5.0,5.6,1.5,34.2,18,100.9,1,+105,0.488,5,1
2025-11-02,NBA,Coby White,CHI,CHA,1,assists,4.5,5.3,1.3,33.9,27,101.3,2,-108,0.519,3,0
2025-11-14,NBA,Lauri Markkanen,UTA,PHX,0,three_pointers_made,2.5,2.9,1.0,34.0,19,100.7,2,-110,0.524,3,1
2025-11-11,NBA,Lauri Markkanen,UTA,SAS,1,three_pointers_made,2.5,2.8,0.9,33.7,28,101.4,1,+100,0.500,2,0
2025-11-08,NBA,Lauri Markkanen,UTA,DEN,1,three_pointers_made,3.0,2.7,1.1,33.9,9,98.4,2,+110,0.476,4,1
2025-11-05,NBA,Lauri Markkanen,UTA,LAL,0,three_pointers_made,2.5,2.6,1.2,33.5,11,99.7,1,+105,0.488,1,0
2025-11-02,NBA,Lauri Markkanen,UTA,MEM,1,three_pointers_made,2.0,2.4,0.8,33.2,21,100.5,2,-105,0.512,3,1
2025-11-14,NBA,Donovan Mitchell,CLE,PHI,0,points,25.5,25.9,4.3,35.5,7,97.8,2,+100,0.500,28,1
2025-11-11,NBA,Donovan Mitchell,CLE,BOS,0,points,26.0,25.7,4.7,35.1,5,98.5,1,-105,0.512,23,0
2025-11-08,NBA,Donovan Mitchell,CLE,NYK,1,points,24.5,25.3,4.0,34.9,12,97.9,2,-110,0.524,27,1
2025-11-05,NBA,Donovan Mitchell,CLE,CHI,1,points,25.0,25.5,4.2,35.0,16,100.2,1,-115,0.535,24,0
2025-11-02,NBA,Donovan Mitchell,CLE,DET,1,points,24.0,25.0,3.9,34.7,26,100.5,2,-112,0.528,26,1
